## IR Sensor Curves Per Motor
Sensor	Equations 
Bot 2
12	    y = 1.9214x - 81.673
1	      y = 1.6369x - 72.97
2  	    y = 1.5889x - 65.907
3	      y = 1.8732x - 78.922
4	      y = 2.1074x - 86.835
5	      y = 1.9093x - 80.002
6      	y = 1.6892x - 71.084
7	      y = 1.7187x - 73.411
8	      y = 1.7463x - 76.2
9	      y = 1.6595x - 68.838
10	    y = 1.7076x - 71.065
11	    y = 1.626x - 67.416


Bot 3

12	   y = 1.7369x - 73.232
1	     y = 1.4055x - 65.84
2	     y = 1.5968x - 79.193
3	     y = 1.5068x - 63.67
4	     y = 2.0493x - 95.69
5	     y = 1.3739x - 61.794
6	     y = 1.9931x - 88.442
7	     y = 1.5659x - 64.019
8	     y = 2.1791x - 98.689
9 	   y = 2.4349x - 107.39
10	   y = 2.2621x - 99.907
11	   y = 1.2459x - 49.236
